rank,bucket,unit_count,amount_cumulative_yen,signature,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10,match_11,match_12,match_13,proxy_ev_multiple,proxy_expected_return_yen,note
166,hedge,1,17600,1212101210112,1,2,1,2,1,0,1,2,1,0,1,1,2,0.667534,66.75,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
167,hedge,1,17700,1010121212111,1,0,1,0,1,2,1,2,1,2,1,1,1,0.667359,66.74,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
168,hedge,1,17800,1212101210211,1,2,1,2,1,0,1,2,1,0,2,1,1,0.667192,66.72,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
169,hedge,1,17900,1012121210101,1,0,1,2,1,2,1,2,1,0,1,0,1,0.667187,66.72,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
170,hedge,1,18000,1011121112111,1,0,1,1,1,2,1,1,1,2,1,1,1,0.667178,66.72,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
171,hedge,1,18100,1212101210121,1,2,1,2,1,0,1,2,1,0,1,2,1,0.666947,66.69,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
172,hedge,1,18200,1012122010111,1,0,1,2,1,2,2,0,1,0,1,1,1,0.666873,66.69,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
173,hedge,1,18300,1212121200111,1,2,1,2,1,2,1,2,0,0,1,1,1,0.666865,66.69,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
174,hedge,1,18400,1211101212111,1,2,1,1,1,0,1,2,1,2,1,1,1,0.666840,66.68,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
175,hedge,1,18500,1012121012110,1,0,1,2,1,2,1,0,1,2,1,1,0,0.666668,66.67,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
176,hedge,1,18600,1212121010011,1,2,1,2,1,2,1,0,1,0,0,1,1,0.666598,66.66,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
177,hedge,1,18700,1012121122111,1,0,1,2,1,2,1,1,2,2,1,1,1,0.666556,66.66,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
178,hedge,1,18800,1210121012111,1,2,1,0,1,2,1,0,1,2,1,1,1,0.666513,66.65,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
179,hedge,1,18900,1012121210011,1,0,1,2,1,2,1,2,1,0,0,1,1,0.666423,66.64,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
180,hedge,1,19000,1012221010111,1,0,1,2,2,2,1,0,1,0,1,1,1,0.666215,66.62,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
181,hedge,1,19100,1212101222111,1,2,1,2,1,0,1,2,2,2,1,1,1,0.666130,66.61,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
182,hedge,1,19200,1012121012101,1,0,1,2,1,2,1,0,1,2,1,0,1,0.666031,66.60,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
183,hedge,1,19300,1012121110112,1,0,1,2,1,2,1,1,1,0,1,1,2,0.665928,66.59,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
184,hedge,1,19400,1211101210111,1,2,1,1,1,0,1,2,1,0,1,1,1,0.665775,66.58,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
185,hedge,1,19500,1012121110211,1,0,1,2,1,2,1,1,1,0,2,1,1,0.665626,66.56,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
186,hedge,1,19600,1012121202111,1,0,1,2,1,2,1,2,0,2,1,1,1,0.665621,66.56,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
187,hedge,1,19700,2012121010111,2,0,1,2,1,2,1,0,1,0,1,1,1,0.665608,66.56,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
188,hedge,1,19800,1010121210111,1,0,1,0,1,2,1,2,1,0,1,1,1,0.665542,66.55,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
189,hedge,1,19900,1012121110121,1,0,1,2,1,2,1,1,1,0,1,2,1,0.665523,66.55,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
190,hedge,1,20000,1210121010111,1,2,1,0,1,2,1,0,1,0,1,1,1,0.665474,66.55,"追加ヘッジ。20,000円上限の議論用で、全買い推奨ではない。"
